"id","name","type","description","human_readable_id","graph_embedding","text_unit_ids","description_embedding"
"b45241d70f0e43fca764df95b2b81f77","PROJECT GUTENBERG","ORGANIZATION","""Project Gutenberg is a digital library that offers free access to a large collection of electronic works, primarily consisting of public domain texts. It aims to promote free access to these works and is synonymous with the free distribution of electronic works in formats readable by a wide variety of computers, including obsolete, old, middle-aged, and new computers. The collection includes notable works such as A Christmas Carol. Project Gutenberg exists because of the efforts of hundreds of volunteers and donations from people in all walks of life, and it distributes these electronic works without copyright restrictions in the United States.""",0,"","['1be1132bc37156f3c13686fb1aba8d65' '2a1c4af9f9c41823c64e689c2b4b45e9'
 '38853a19a9f53b37c6dec725d881647b' 'd32b4992f5d1dcf627250d5809f6d78e'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[-0.03290227  0.03446197  0.04659297 ... -0.0106889   0.00432322
 -0.02059796]"
"4119fd06010c494caa07f439b333f4c5","CHARLES DICKENS","PERSON","Charles Dickens is the author of A Christmas Carol",1,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.05116824  0.01183844  0.00672354 ... -0.01625016  0.05590747
  0.00983004]"
"d3835bf3dda84ead99deadbeac5d0d7d","ARTHUR RACKHAM","PERSON","Arthur Rackham is the illustrator of A Christmas Carol",2,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.00505831  0.01903535 -0.04634694 ... -0.02735515  0.05640911
  0.00827624]"
"077d2820ae1845bcbb1803379a3d1eae","PHILADELPHIA","GEO","Philadelphia is one of the cities where the original publication of A Christmas Carol was released",3,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.02231822  0.02052208  0.01474532 ... -0.01951479  0.06160266
 -0.00236046]"
"3671ea0dd4e84c1a9b02c5ab2c8f4bac","NEW YORK","GEO","New York is one of the cities where the original publication of A Christmas Carol was released",4,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.00380516  0.00294238  0.01900495 ... -0.02477665  0.02518127
 -0.0013916 ]"
"19a7f254a5d64566ab5cc15472df02de","J. B. LIPPINCOTT COMPANY","ORGANIZATION","J. B. Lippincott Company is the publisher of the original 1915 edition of A Christmas Carol",5,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.01615524 -0.00681267 -0.01268566 ... -0.02376905  0.06717497
  0.02025128]"
"e7ffaee9d31d4d3c96e04f911d0a8f9e","A CHRISTMAS CAROL","EVENT","""A Christmas Carol is a novella by Charles Dickens, first published in 1843, and has been reprinted multiple times.""",6,"",['d32b4992f5d1dcf627250d5809f6d78e' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.01211532 -0.00975062  0.00038552 ... -0.0126587   0.05482081
  0.02388851]"
"f7e11b0e297a44a896dc67928368f600","BOB CRATCHIT","PERSON","""Bob Cratchit is a character in A Christmas Carol by Charles Dickens. He is the humble and obedient clerk of Ebenezer Scrooge, working hard to support his family despite earning a modest income of fifteen 'Bob' a week. Bob lives in a modest four-roomed house and is the loving and caring father of the Cratchit family, which includes his son, Tiny Tim. Despite his employer's harsh attitude, Bob enjoys Christmas and maintains a positive spirit. He is depicted as a poor man who, despite his struggles, remains devoted to his family. Bob is known for his kindness, as seen when he takes Tiny Tim beside him at the table and proposes a toast. Throughout the story, Bob's dedication and hard work are recognized by Scrooge, who eventually promises him a raise and assistance for his struggling family, even planning to send a large turkey to the Cratchit household.""",7,"","['2c2dc4d6383dc21e5c198e42cbb99426' '31162003185eeb0ce0f4b4f2031e01c7'
 '49d69adfdaf6f3f17e1e03fc4c6f561f' '5c23d6ea344fb1e7d1da42af94e77372'
 '6241708a162f42e9a6df0486b17dfc40' 'aacc244b408aedd1b59271b08a207bf8'
 'd1ffbd0a1d292732b8530b80890ce309' 'd32b4992f5d1dcf627250d5809f6d78e'
 'd4e73f42abc059b1a9108741c4d88216' 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.0113205   0.01557104 -0.03813865 ... -0.03593693  0.03079959
  0.03774723]"
"1fd3fa8bb5a2408790042ab9573779ee","PETER CRATCHIT","PERSON","""Peter Cratchit is a character in A Christmas Carol and the eldest son of Bob and Mrs. Cratchit. He is described as wearing a monstrous shirt-collar and is eager to show off his attire. Peter is one of Bob Cratchit's children who is considering a job opportunity. Additionally, he helps with household tasks like mashing potatoes.""",8,"","['5c23d6ea344fb1e7d1da42af94e77372' 'd4e73f42abc059b1a9108741c4d88216'
 'f80de7a23de0088b7dbc1aa1a09e2d6e']","[ 0.01779218  0.03648887 -0.05674085 ... -0.03629032  0.0412761
  0.0362462 ]"
"27f9fbe6ad8c4a8b9acee0d3596ed57c","TIM CRATCHIT","PERSON","""Tim Cratchit, also known as Tiny Tim, is a character in A Christmas Carol, and the youngest son of Bob Cratchit""",9,"",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"[ 0.003084    0.02921801 -0.07662016 ... -0.03177658  0.05839032
  0.04920687]"
