"source","target","weight","description","text_unit_ids","id","human_readable_id","source_degree","target_degree","rank"
"PROJECT GUTENBERG","SUZANNE SHELL",7.0,"Suzanne Shell is one of the producers of the Project Gutenberg eBook of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"da1684437ab04f23adac28ff70bd8429","0",14,1,15
"PROJECT GUTENBERG","JANET BLENKINSHIP",7.0,"Janet Blenkinship is one of the producers of the Project Gutenberg eBook of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"4517768fc4e24bd2a790be0e08a7856e","1",14,1,15
"PROJECT GUTENBERG","ONLINE DISTRIBUTED PROOFREADING TEAM",7.0,"The Online Distributed Proofreading Team helped produce the Project Gutenberg eBook of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"545edff337344e518f68d1301d745455","2",14,1,15
"PROJECT GUTENBERG","UNITED STATES",14.0,"""Project Gutenberg is a digital library that offers a vast collection of works, most of which are in the public domain in the United States. One notable example is the Project Gutenberg eBook of A Christmas Carol, which is available for use without restrictions in the United States.""",['38853a19a9f53b37c6dec725d881647b' 'f80de7a23de0088b7dbc1aa1a09e2d6e'],"9376ce8940e647a99e5e087514b88fa4","3",14,3,17
"PROJECT GUTENBERG","A CHRISTMAS CAROL",1.0,"Project Gutenberg distributes 'A Christmas Carol' as an electronic work",['d32b4992f5d1dcf627250d5809f6d78e'],"b38a636e86984600bb4b57c2e2df9747","4",14,7,21
"PROJECT GUTENBERG","PROJECT GUTENBERG LITERARY ARCHIVE FOUNDATION",19.0,"The Project Gutenberg Literary Archive Foundation manages the Project Gutenberg trademark and handles royalty payments and permissions. It owns the compilation copyright of Project Gutenberg's electronic works and actively promotes its mission. The foundation was created to provide a secure and permanent future for Project Gutenberg and future generations.","['1be1132bc37156f3c13686fb1aba8d65' '2a1c4af9f9c41823c64e689c2b4b45e9'
 '38853a19a9f53b37c6dec725d881647b']","4bc7440b8f4b4e4cae65a5c49defa923","5",14,6,20
"PROJECT GUTENBERG","PROJECT GUTENBERG LICENSE",9.0,"The Project Gutenberg License sets the terms and conditions for using Project Gutenberg works",['38853a19a9f53b37c6dec725d881647b'],"5d1b038ce8be4533b54dd79d6496de9b","6",14,1,15
"PROJECT GUTENBERG","WWW.GUTENBERG.ORG",1.0,"The official versions of Project Gutenberg works are posted on www.gutenberg.org",['38853a19a9f53b37c6dec725d881647b'],"ac6e5a44e0c04a4fa93589376fde4c34","7",14,1,15
"PROJECT GUTENBERG","U.S.",5.0,"Project Gutenberg volunteers and employees conduct copyright research and other activities in the U.S.",['1be1132bc37156f3c13686fb1aba8d65'],"40e4ef7dbc98473ba311bd837859a62a","8",14,1,15
"PROJECT GUTENBERG","PROJECT GUTENBERG VOLUNTEERS",6.0,"""Project Gutenberg volunteers contribute to the initiative by identifying, transcribing, and proofreading works""",['1be1132bc37156f3c13686fb1aba8d65'],"222f0ea8a5684123a7045986640ec844","9",14,1,15
"PROJECT GUTENBERG","PROJECT GUTENBERG EMPLOYEES",1.0,"Project Gutenberg employees contribute to various activities such as copyright research and proofreading",['1be1132bc37156f3c13686fb1aba8d65'],"668cf1fdfd644d39acc6350b86117ea2","10",14,1,15
"PROJECT GUTENBERG","MICHAEL S. HART",10.0,"Michael S. Hart was the originator of the Project Gutenberg concept and produced and distributed Project Gutenberg eBooks for forty years",['2a1c4af9f9c41823c64e689c2b4b45e9'],"478e4c72d8fb46dd8cc9f0691c9878fd","11",14,1,15
"PROJECT GUTENBERG","FOUNDATION",8.0,"""The Foundation is responsible for the production, promotion, and distribution of Project Gutenberg™ electronic works""",['2a1c4af9f9c41823c64e689c2b4b45e9'],"82b0446e7c9d4fc793f7b97f890e9049","12",14,1,15
"PROJECT GUTENBERG","PROFESSOR MICHAEL S. HART",1.0,"Professor Michael S. Hart was the originator of the Project Gutenberg™ concept and produced and distributed Project Gutenberg™ eBooks for forty years",['2a1c4af9f9c41823c64e689c2b4b45e9'],"8169efeea3ce473d9fd2f1c688126a1c","13",14,1,15
"CHARLES DICKENS","A CHRISTMAS CAROL",10.0,"Charles Dickens is the author of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"c2d48b75af6a4d7989ccf9eceabd934e","14",1,7,8
"ARTHUR RACKHAM","A CHRISTMAS CAROL",8.0,"Arthur Rackham is the illustrator of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"5f1fc373a8f34050a5f7dbd8ac852c1b","15",1,7,8
"PHILADELPHIA","A CHRISTMAS CAROL",6.0,"Philadelphia is one of the cities where the original publication of A Christmas Carol was released",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"0c010fa3aeac4b28b2fbb8c2339c2521","16",1,7,8
"NEW YORK","A CHRISTMAS CAROL",1.0,"New York is one of the cities where the original publication of A Christmas Carol was released",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"c2999bdca08a478b84b10219875b285e","17",1,7,8
"J. B. LIPPINCOTT COMPANY","A CHRISTMAS CAROL",7.0,"J. B. Lippincott Company is the publisher of the original 1915 edition of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"263d07354a1b4336b462024288f9bcd3","18",1,7,8
"A CHRISTMAS CAROL","GHOST OF AN IDEA",1.0,"The Ghost of an Idea is a concept mentioned by Charles Dickens in the preface of A Christmas Carol",['f80de7a23de0088b7dbc1aa1a09e2d6e'],"f9005e5c01b44bb489f7112322fd1162","19",7,1,8
"BOB CRATCHIT","SCROOGE",64.0,"""Bob Cratchit is Scrooge's clerk and works for him. Scrooge, who is Bob Cratchit's employer, is known for being strict about giving him a day off for Christmas. Despite this, Scrooge is aware of the Cratchit family's struggles. In a gesture of goodwill, Scrooge plans to send a large turkey to Bob Cratchit. Additionally, Scrooge promises to raise Bob Cratchit's salary and assist his struggling family.""","['2c2dc4d6383dc21e5c198e42cbb99426' '31162003185eeb0ce0f4b4f2031e01c7'
 '6241708a162f42e9a6df0486b17dfc40' 'd1ffbd0a1d292732b8530b80890ce309'
 'd32b4992f5d1dcf627250d5809f6d78e' 'd4e73f42abc059b1a9108741c4d88216']","d9ef017549724f4fbc4ff4ba6701dac0","20",26,116,142
"BOB CRATCHIT","CAMDEN TOWN",5.0,"Bob Cratchit lives in Camden Town and runs home there after work",['6241708a162f42e9a6df0486b17dfc40'],"33b9e826af3f43838c07c847b6349497","21",26,2,28
"BOB CRATCHIT","CHRISTMAS EVE",1.0,"Bob Cratchit celebrates Christmas Eve by sliding on Cornhill and playing games",['6241708a162f42e9a6df0486b17dfc40'],"dbe9063124d047dc8d6fcaeadcda038f","22",26,8,34
"BOB CRATCHIT","COUNTING-HOUSE",7.0,"Bob Cratchit works at the counting-house as Scrooge's clerk",['6241708a162f42e9a6df0486b17dfc40'],"c885166d0c454a748376b56279f96408","23",26,2,28
"BOB CRATCHIT","SPIRIT",7.0,"The Spirit blesses Bob Cratchit's dwelling with the sprinklings of its torch",['2c2dc4d6383dc21e5c198e42cbb99426'],"586bccefb1e344289c1ee984e165de9c","24",26,18,44
"BOB CRATCHIT","MRS. CRATCHIT",53.0,"""Bob Cratchit and Mrs. Cratchit are husband and wife, working together to support their family. They are married and part of the Cratchit family. Mrs. Cratchit is Bob Cratchit's wife.""","['2c2dc4d6383dc21e5c198e42cbb99426' '31162003185eeb0ce0f4b4f2031e01c7'
 '49d69adfdaf6f3f17e1e03fc4c6f561f' '5c23d6ea344fb1e7d1da42af94e77372']","a2201b8753ba4847ab0b22054e27d2c0","25",26,16,42
"BOB CRATCHIT","GHOST OF CHRISTMAS PRESENT",19.0,"The Ghost of Christmas Present blesses Bob Cratchit's home with the sprinklings of its torch.",['2c2dc4d6383dc21e5c198e42cbb99426' '5c23d6ea344fb1e7d1da42af94e77372'],"b5ecd0553dd742f5813c9b855d548a41","26",26,7,33
"BOB CRATCHIT","BOB CRATCHIT'S DWELLING",7.0,"Bob Cratchit lives in a modest four-roomed house",['2c2dc4d6383dc21e5c198e42cbb99426'],"89b2003e97804961805ea1886d078ebd","27",26,5,31
"BOB CRATCHIT","CHRISTMAS DAY",12.0,"""Bob Cratchit and his family celebrate Christmas Day. During this festive occasion, Bob Cratchit also takes a moment to mention Christmas Day as a time to drink to Scrooge's health.""",['2c2dc4d6383dc21e5c198e42cbb99426' 'd4e73f42abc059b1a9108741c4d88216'],"6dd7f5f6b4544271a97f6a136f82fc3d","28",26,9,35
"BOB CRATCHIT","TINY TIM",46.0,"""Bob Cratchit is the father of Tiny Tim and shows great affection and concern for him. He is deeply affected by Tiny Tim's death and is very caring towards his son, often carrying him on his shoulder. Tiny Tim, in turn, is Bob Cratchit's beloved son.""","['31162003185eeb0ce0f4b4f2031e01c7' '49d69adfdaf6f3f17e1e03fc4c6f561f'
 '5c23d6ea344fb1e7d1da42af94e77372' 'd4e73f42abc059b1a9108741c4d88216']","eb01db8435554f2cbafe39a50f62f20a","29",26,16,42
