"text_unit_ids","entity_ids","id"
"004d46eaa6bab4aa6272fe590bb2656f","['b45241d70f0e43fca764df95b2b81f77' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '8fba1fea719d49d380ac2d9c310d68b3'
 'cef8ff96a0e842fdae4751933bcb1a28' '7a7990b6045c440ba606d142bd8ddc02']","004d46eaa6bab4aa6272fe590bb2656f"
"01308814d1f4f9ebf06b2fc62f033e05","['b45241d70f0e43fca764df95b2b81f77' '9646481f66ce4fd2b08c2eddda42fc82'
 'c160b9cb27d6408ba6ab20214a2f3f81' '252cc8452bfc4c2aa58cab68d8b61879'
 '6ea81acaf232485e94fff638e03336e1' '8046335ba70b434aa3188392a746fd78'
 '4d839a10353e4144a26563b0966721d5' 'd734746e3d6146f780af91827e578dfd'
 '6b7aa6ce4cac4edbaaab831286e67e5e' 'a102d091986749ef90b45d411e707bef'
 'cd6ae38a5a6742899d14f4a064f42c19']","01308814d1f4f9ebf06b2fc62f033e05"
"02b5643178c6975bd2ae1ea597b9aa44","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'cec95bf17e7e4c939b56c9c6f402a29f' 'a701c349eb7142d48ba7efad89caf9d2'
 'ccb335166f6c4564ac1c61549d8ded50' '34ff8ef897804691842071f9ff78708e']","02b5643178c6975bd2ae1ea597b9aa44"
"0311650fa5538a3518f612b68069e13e","['b45241d70f0e43fca764df95b2b81f77' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '1943f245ee4243bdbfbd2fd619ae824a' 'bff3db70f9af4f2c87a93df48ecbb6bc'
 '60c9212246f84ae5b6ab254127a39262' 'c827b62ebf134e55a3ccf0b63f976870'
 'b51ef388758845e880e736309ae791e3' '0a841cd4b6664423b033f22e3a80f33c']","0311650fa5538a3518f612b68069e13e"
"034165e4ee6938dd74571a85600f5760","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'e1fd0e904a53409aada44442f23a51cb' 'e2f5735c7d714423a2c4f61ca2644626'
 '404309e89a5241d6bff42c05a45df206' '058f66cc356b43cc9433bd3c8d57fa46'
 '34ff8ef897804691842071f9ff78708e' '8d5d7b8fb7d14d0ba46ce7f0be6de661'
 '607a66de21cf42e497c23013327b751f']","034165e4ee6938dd74571a85600f5760"
"03747699d85bec0f40be5917ff1b8bb4","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 'e1fd0e904a53409aada44442f23a51cb' '9646481f66ce4fd2b08c2eddda42fc82'
 '8323efc8e539419e9ca3c98e758f6609' 'fd139ac75b0e4777ab67b7423eaaa37f'
 '53273797509d45178c49045830ec9fc2' '6529cf63872440a98aeab73beee3762a'
 '65faae6c13f5444b8d71b4b2be38eba3' '9187af05545a4c8d92e38c2b46254092'
 'f12578d1ff7b46f5ae84c7672fac8deb']","03747699d85bec0f40be5917ff1b8bb4"
"04bc6d7898b210eaaa7f60374bd1b4b6","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '34ff8ef897804691842071f9ff78708e'
 '8f39ae56f8b54b1b94faf04dbd0b9d11' '07d501edd4614e1d9d08d01b702688a3'
 'f745075dedcf444daa9370cf32403d31' '1ef48284d238405f94190125092a3e28'
 '8806b817446447e3b50f5bc85ff497e1' '7303ee20690449db8c168df3fe008bc5'
 '2f1c535a14b14758bf1cacca81c74878']","04bc6d7898b210eaaa7f60374bd1b4b6"
"04d75a03b9a8e697e98a601ec442aad7","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'ce54725672a74ebcabe6127577dacb2b' 'c79d686eba044c5586c706cdc096817d'
 '1dbc51475cb04dafa4a8833a8378635e' 'c12b9ebd8b4e42b7896822a32e3fa6eb'
 '27505f6ade4b4e5f9316ffe9c34821f7' '0ee7db2c6bea4630ba9f0c25e8a967ad'
 '5a6c1d15424149f69052cd8d91fbff75' '9b3eef8f3a3a45e6873838db95295b8a'
 '859dedcc3736439a8a563419f16cb3d8']","04d75a03b9a8e697e98a601ec442aad7"
"052da0ef8d9909c9132f9d93687e510e","['b45241d70f0e43fca764df95b2b81f77' '32ee140946e5461f9275db664dc541a5'
 'b785a9025069417f94950ad231bb1441' '958beecdb5bb4060948415ffd75d2b03'
 'b999ed77e19e4f85b7f1ae79af5c002a' '015e7b58d1a14b44beab3bbc9f912c18'
 '3c063eea52e94164b70c99431ea30bae' '6ea81acaf232485e94fff638e03336e1'
 'a80c7c98c0b647f8b9f6f8cc09168e44' '005d2154da754b21adcd90ac921bd5f7'
 'dfa0e847a6704c93a0fe014b01858ff7' '9e91823feb174cd1b6a3bf8d0a5cb86b'
 'ad76c8dc8dd94412a5e79005cf8e0f2f' '26a03482961e41918ea049018080af7a'
 '1cfd220ff4d2493ca4b92d725d171d32' '97738fe0830d405ba53598b5cb1e5e38'
 '354cea4f6e164a48ad12122c28a5b30d' '1ee2380c1eda4ebb8c9304820750ac88'
 '57e00d4d4e0e4679a150f048deb80af3']","052da0ef8d9909c9132f9d93687e510e"
"0730d4d93c48632053653d48e1674c81","['b45241d70f0e43fca764df95b2b81f77' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' 'e1fd0e904a53409aada44442f23a51cb'
 '9646481f66ce4fd2b08c2eddda42fc82' '1943f245ee4243bdbfbd2fd619ae824a'
 '3f5e9927a4114a958d75f5ed313526a8' '4ecf891e9a5b4daf9e02d5b2ec963079']","0730d4d93c48632053653d48e1674c81"
"077f87dca3309728b738c9e04c595006","['b45241d70f0e43fca764df95b2b81f77' 'd3835bf3dda84ead99deadbeac5d0d7d'
 '3671ea0dd4e84c1a9b02c5ab2c8f4bac' '32f6f11a7845416b8c6eb9fb0b382140'
 '3831134696584d83bbf676a6b3bfa8f9' '50e512a5dbe941f5af68bfdf74b1c3c0'
 'edc717747e904728b57185f5013461f9' '8fba1fea719d49d380ac2d9c310d68b3'
 '532da08f04f645708e747c57e9c4ee05' '3cf0ab4cf14e47ddabd49d500a3dc488'
 'a39b72f8921f43ef8ef295c7cc8f7294' '9f5adbeb6cf04f089abe78d86cfa6aba'
 'efb6350e65964659bc20396c0166b296' 'e095cc36da784300b27c6f8c60a96440']","077f87dca3309728b738c9e04c595006"
"078588979de4df87c183493bfc3d56a4","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 '0467928aa65e4a4fba62bdb1467e3a54' '43c3390303c6476cb65f584e37c3e81c'
 'fa14b16c17e3417dba5a4b473ea5b18d' '7cc3356d38de4328a51a5cbcb187dac3'
 'bef16fb5fd7344cca5e295b13ef3e0cd' 'bb9e01bc171d4326a29afda59ece8d17'
 '3c063eea52e94164b70c99431ea30bae' '252cc8452bfc4c2aa58cab68d8b61879'
 '7e2c84548fb94ee395ba8588d8f2a006' 'f034618dde7948beb6dab30176d0fc87'
 '5c41f96be13e49dba649454297834546' '7ea4afbf8a264f29af29950ce98105ba']","078588979de4df87c183493bfc3d56a4"
"0878e943b5bd448efb5c3dc867b973ea","['b45241d70f0e43fca764df95b2b81f77' 'd3835bf3dda84ead99deadbeac5d0d7d'
 'b785a9025069417f94950ad231bb1441' 'fd139ac75b0e4777ab67b7423eaaa37f'
 'aca3eb8924ac494486fe0bfe892f7f2e' '8d93d45adbe547f78460a9ef3eb40ab2'
 'c6f21de31a6f4fbda2eed1780ffed5b1' '07c3f03764874b7680710ca030cdb60c']","0878e943b5bd448efb5c3dc867b973ea"
"0889b0f517ecd83a034c6c3597d4d5cd","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 '1fd3fa8bb5a2408790042ab9573779ee' '80020a1da63042459e00266b2a605452'
 '5dabc4cd05da425cb194a04482bf0c29' '9d08f285a7be4c79b8f359c51d51db37'
 'd405c3154d0e48ce96fad4c28fe20590']","0889b0f517ecd83a034c6c3597d4d5cd"
"09219df7e562d1aad95bf7f2aa1b66c0","['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 '273daeec8cad41e6b3e450447db58ee7' 'deece7e64b2a4628850d4bb6e394a9c3'
 '1af9faf341e14a5bbf4ddc9080e8dc0b' '8046335ba70b434aa3188392a746fd78'
 '989add81cf874018a569239b68d17ff2' 'f6de923de6474d2cab6a9c2f0d81fa59'
 '6915637e8d124fdc8473111d501e3703']","09219df7e562d1aad95bf7f2aa1b66c0"
"09b229394d3ba51fecb9a05f373e5996","['b45241d70f0e43fca764df95b2b81f77' '1943f245ee4243bdbfbd2fd619ae824a'
 '3b6cd96a27304614850709aba1c9598b' '958beecdb5bb4060948415ffd75d2b03'
 '6ea81acaf232485e94fff638e03336e1' '8046335ba70b434aa3188392a746fd78'
 '005d2154da754b21adcd90ac921bd5f7' 'cde2d75c51d245879265b79d14b8699b'
 '21ed913271614cbeb1b754cdbbef13af' '595a841aa6034c93bd3dc55681e17710'
 '60724b8b268044b69a4b3d939f1757e2' '5b85c70d578c4d67b5cb4743552bd559'
 '956113fb770840c38bce65bb5832f988' '785bb55e79954b0c84a4a53cd7f0b454']","09b229394d3ba51fecb9a05f373e5996"
