Cuan x Jorge x Jonas, Sixth 
Wed, May 15, 2024

0:03 - Jorge Lewis My eyes are really blue in this lighting.

1:00 - Jorge Lewis Bye bye.

1:49 - Jonas Lindberg He's trying to join, I think.

1:53 - Jorge Lewis Hello.

1:56 - Jorge Lewis Hey, how are you? I'm good, and you?

2:01 - Cuan Mulligan Yeah, not bad. I'm on a train, so the signal's a bit patchy. Yeah, it's a bit patchy, the signal. No, I wish.

2:12 - Jonas Lindberg No, just beyond it.

2:18 - Cuan Mulligan I'm gonna kill my video guys.

2:22 - Jorge Lewis Yeah, no worries. Yeah, I was noticing that... Jonas, does this voice sound okay to you? Yeah, it was a bit buggy. It sounds a bit sped up.

2:33 - Jorge Lewis Yeah.

2:33 - Jorge Lewis So, if you don't mind, Kieran, just throw in some noise at us.

2:42 - Cuan Mulligan Yeah, well, let's see.

2:49 - Cuan Mulligan I'm struggling to bring it up and to have this phone call at the same time.

2:58 - Cuan Mulligan So yeah, I can bring it up What All right, I'll open it up on the screen share.

3:42 - Cuan Mulligan Can you guys see the screen? Yeah. It's coming in.

3:49 - Jorge Lewis Yeah. Yeah.

4:52 - Cuan Mulligan Sorry, two seconds. You're not showing your screen. You're showing sort of a very trippy version of all of your screens.

5:00 - Jorge Lewis Can you see it now?

5:08 - Jorge Lewis Yeah.

5:09 - Jorge Lewis Okay, sorry, yeah.

5:12 - Jorge Lewis So far, was that good? Was that correct, Stephen? Or, sorry, Cuan?

5:22 - Cuan Mulligan Yeah, so let me...

5:27 - Cuan Mulligan So the to-do list is...

5:32 - Cuan Mulligan It shouldn't really be a massively new feature, but in terms of people adding in their own... I mean, in essence, a to-do list is the habits that they need to be done. One is that the system generates them, and the other one is that the user generates them. So that's the only variance here, but it's still fundamentally the same capability that you build.

5:50 - Unidentified Speaker Okay.

5:57 - Jorge Lewis Yeah. Jonas, do you want to, or should I explain kind of the thought process?

6:05 - Jorge Lewis You can go ahead.

6:06 - Jorge Lewis Yeah.

6:37 - Cuan Mulligan the handy crush aspects, that's not, that's a much later phase. This is just a raw capability.

6:51 - Cuan Mulligan Let's say somebody has said...

6:55 - Cuan Mulligan I don't know if you guys can hear me. Let's say somebody says... Their plan is to finish eating by 7 p.m. Every day, and the coach is talking to them, and they keep on breaking that. They might say, actually, I want to change that to 8 p.m. So, in essence, that's the same technology, because you're going in and modifying the attributes of an existing task.

